[[28735, 50000], [13442, 50000]]	,
[[28689, 50000], [13491, 50000]]	,
[[28751, 50000], [13503, 50000]]	,
[[28831, 50000], [13345, 50000]]	,
[[28936, 50000], [13450, 50000]]	,
[[28808, 50000], [13362, 50000]]	,
[[28760, 50000], [13446, 50000]]	,
[[28653, 50000], [13376, 50000]]	,
[[28696, 50000], [13526, 50000]]	,
[[28603, 50000], [13347, 50000]]	,
[[28786, 50000], [13356, 50000]]	,
[[28681, 50000], [13374, 50000]]	,
[[28790, 50000], [13347, 50000]]	,
[[28898, 50000], [13202, 50000]]	,
[[28797, 50000], [13456, 50000]]	,
[[28816, 50000], [13328, 50000]]	,
[[28834, 50000], [13560, 50000]]	,
[[28805, 50000], [13560, 50000]]	,
[[28751, 50000], [13494, 50000]]	,
[[28678, 50000], [13518, 50000]]	,
[[28797, 50000], [13394, 50000]]	,
[[28802, 50000], [13454, 50000]]	,
[[28830, 50000], [13346, 50000]]	,
[[28689, 50000], [13227, 50000]]	,
[[28966, 50000], [13453, 50000]]	,
[[28808, 50000], [13352, 50000]]	,
[[28862, 50000], [13515, 50000]]	,
[[28729, 50000], [13392, 50000]]	,
[[28876, 50000], [13311, 50000]]	,
[[28932, 50000], [13513, 50000]]	,
[[28925, 50000], [13455, 50000]]	,
[[28746, 50000], [13510, 50000]]	,
[[28565, 50000], [13502, 50000]]	,
[[28884, 50000], [13455, 50000]]	,
[[28854, 50000], [13456, 50000]]	,
[[28828, 50000], [13504, 50000]]	,
[[28845, 50000], [13372, 50000]]	,
[[28888, 50000], [13474, 50000]]	,
[[28632, 50000], [13484, 50000]]	,
[[28725, 50000], [13380, 50000]]	,
[[28731, 50000], [13532, 50000]]	,
[[28777, 50000], [13452, 50000]]	,
[[28853, 50000], [13310, 50000]]	,
[[28672, 50000], [13474, 50000]]	,
[[28857, 50000], [13528, 50000]]	,
[[28852, 50000], [13460, 50000]]	,
[[28817, 50000], [13356, 50000]]	,
[[28739, 50000], [13408, 50000]]	,
[[28760, 50000], [13464, 50000]]	,
[[28766, 50000], [13542, 50000]]	,
